step,caller,contract,function,simulated_amount,state_change,notes
5.3.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",0,locked_pending_external_replay,Released only if gates pass
5.4.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",1050000,job_posted_simulated,Compute Efficiency Capability Package
5.4.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",120000,builder_bond_locked_simulated,No token movement
5.4.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J04
5.4.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,failed,External replay gate
5.4.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",0,blocked_external_replay_failed,Released only if gates pass
5.5.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",700000,job_posted_simulated,Scientific Invention Workflow Probe
5.5.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",75000,builder_bond_locked_simulated,No token movement
5.5.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J05
5.5.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,pending,External replay gate
5.5.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",0,locked_pending_internal_replay,Released only if gates pass
5.6.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",600000,job_posted_simulated,Agentic Work Marketplace Prototype
5.6.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",65000,builder_bond_locked_simulated,No token movement
5.6.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J06
5.6.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,failed,External replay gate
5.6.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",0,rejected_qa_fail,Released only if gates pass
5.7.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",400000,job_posted_simulated,Regular-Person Utility Grid Pilot
5.7.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",40000,builder_bond_locked_simulated,No token movement
5.7.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J07
5.7.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,not_required_low_risk,External replay gate
5.7.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",400000,settled_low_risk_external_replay_not_required,Released only if gates pass
5.7.6,Protocol,AlphaWorkUnitLedger,"recordAlphaWorkUnits(jobId,alphaWU,proofRoot)",0,alpha_wu_recorded,180.0
5.8.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",400000,job_posted_simulated,Sovereign AI Operations Claim Pack
5.8.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",55000,builder_bond_locked_simulated,No token movement
5.8.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J08
5.8.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,not_applicable,External replay gate
5.8.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",0,rejected_claim_boundary_fail,Released only if gates pass
